Main food description (Portions and Weights),Portion description,WWEIA Category description (Portions and Weights),Portion weight (g),Food code
Meat loaf made with ham,1 large slice,Meat mixed dishes,144,42109100
Lamb or mutton loaf,1 large slice,Meat mixed dishes,144,42501500
Meat loaf made with venison/deer,1 large slice,Meat mixed dishes,144,42502100
"Meat loaf, NS as to type of meat",1 large slice,Meat mixed dishes,144,42111500
Meat loaf made with beef and pork,1 large slice,Meat mixed dishes,144,42112300
"Meat loaf made with beef, veal and pork",1 large slice,Meat mixed dishes,144,42101350
Ham or pork with stuffing,Quantity not specified,Meat mixed dishes,150,27113200
"Liver, beef or calves, and onions",Quantity not specified,Meat mixed dishes,151,42113000
Veal parmigiana,Quantity not specified,Meat mixed dishes,157,41425010
"Stewed rabbit, Puerto Rican style,",Quantity not specified,Meat mixed dishes,164,27130010
Swiss steak,1 medium piece with sauce,Meat mixed dishes,170,27320100
"Pancakes and sausage, frozen meal",Quantity not specified,Meat mixed dishes,170,42203000
"Stuffed cabbage, with meat, Puerto Rican style",Quantity not specified,Meat mixed dishes,175,27212200
"Barbecue meat, NFS",Quantity not specified,Meat mixed dishes,180,27213100
"Barbecue beef, with sauce",Quantity not specified,Meat mixed dishes,180,27213300
"Barbecue pork, with sauce",Quantity not specified,Meat mixed dishes,180,27213400
"Meat loaf made with beef, with tomato-based sauce",1 large slice,Meat mixed dishes,183,42111110
"Meat loaf made with beef and pork, with tomato-based sauce",1 large slice,Meat mixed dishes,183,42111200
Frankfurters or hot dogs with tomato-based sauce,Quantity not specified,Meat mixed dishes,183,27220170
Lamb or mutton with gravy,Quantity not specified,Meat mixed dishes,183,27220190
Venison or deer with gravy,Quantity not specified,Meat mixed dishes,183,27220210
Swedish meatballs with cream or white sauce,Quantity not specified,Meat mixed dishes,186,27311110
Sausage with tomato-based sauce,Quantity not specified,Meat mixed dishes,186,27311210
Beef with tomato-based sauce,Quantity not specified,Meat mixed dishes,187,27311610
Corned beef hash,1 small can (7 oz),Meat mixed dishes,198,27136050
Stuffed cabbage rolls with beef and rice,Quantity not specified,Meat mixed dishes,202,42116000
Stuffed grape leaves with beef and rice,Quantity not specified,Meat mixed dishes,202,43102400
Stuffed grape leaves with lamb and rice,Quantity not specified,Meat mixed dishes,202,43103000
"Chili with meat, canned",1 individual container,Meat mixed dishes,255,27420410
"Stew, beef, canned",Quantity not specified,Meat mixed dishes,255,27460510
"Beef, sliced, with gravy, potatoes, vegetable, frozen meal",1 Banquet meal (9.5 oz),Meat mixed dishes,269,41205055
"Meat loaf with potatoes, vegetable, frozen meal",1 Banquet meal (9.5 oz),Meat mixed dishes,269,63409015
"Salisbury steak with gravy, potatoes, vegetable, frozen meal",Quantity not specified,Meat mixed dishes,312,27212100
"Salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",Quantity not specified,Meat mixed dishes,312,28113140
Salisbury steak with gravy,1 frozen family size package (6 steaks),Meat mixed dishes,794,42202150
"Beef and noodles, no sauce","1 package, prepared",Meat mixed dishes,839,42112200
Beef and macaroni with cheese sauce,"1 package, prepared",Meat mixed dishes,1245,27311120
Beef and noodles with tomato-based sauce,"1 package, prepared",Meat mixed dishes,1245,27311640
Shepherd's pie,"1 pie, any size",Meat mixed dishes,1260,27120090
"Pot pie, beef","1 pie, any size",Meat mixed dishes,1260,27120110
"Beef and potatoes with cream sauce, white sauce or mushroom sauce","1 package, prepared",Meat mixed dishes,1341,27320350
Beef stroganoff with noodles,"1 package, prepared",Meat mixed dishes,1408,28110510
Chicken cornbread,1 cubic inch,Poultry mixed dishes,"7,6",27118120
"Stewed chicken with tomato-based sauce, Mexican style",1 chicken thigh with sauce,Poultry mixed dishes,77,27242200
Chicken or turkey with cream sauce,1 chicken thigh with sauce,Poultry mixed dishes,78,27142000
Chicken or turkey with mushroom sauce,1 chicken thigh with sauce,Poultry mixed dishes,78,27440110
Chicken or turkey cacciatore,1 chicken thigh with sauce,Poultry mixed dishes,107,27242000
"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce",1 Banquet's Cookin' Bag (4.5 oz),Poultry mixed dishes,128,27143000
Chicken with gravy,1/2 chicken breast with gravy,Poultry mixed dishes,129,27242250
"Chicken or turkey cake, patty, or croquette",1 cup,Poultry mixed dishes,140,27121010
Chicken or turkey cordon bleu,Quantity not specified,Poultry mixed dishes,140,27135050
Meat loaf made with chicken or turkey,1 large or thick slice,Poultry mixed dishes,144,27120130
"Chicken or turkey shish kabob with vegetables, excluding potatoes",Quantity not specified,Poultry mixed dishes,154,28160300
"Meat loaf made with chicken or turkey, with tomato-based sauce",1 large or thick slice,Poultry mixed dishes,183,27221170
"Chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",Quantity not specified,Poultry mixed dishes,191,91301080
Chicken or turkey parmigiana,1 cup,Poultry mixed dishes,209,27260100
"Chicken fricassee, Puerto Rican style",Quantity not specified,Poultry mixed dishes,223,77272010
"Chicken with noodles and cheese sauce, diet frozen meal",Quantity not specified,Poultry mixed dishes,241,27146250
Turkey with gravy,Quantity not specified,Poultry mixed dishes,244,27242350
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",1 Wendy's salad,Poultry mixed dishes,261,27221150
"Turkey with gravy, dressing, potatoes, vegetable, frozen meal",1 Banquet meal (9.25 oz),Poultry mixed dishes,262,63409010
"Turkey with vegetable, stuffing, diet frozen meal",1 Healthy Choice meal (10 oz),Poultry mixed dishes,284,27146400
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",Quantity not specified,Poultry mixed dishes,314,27445125
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 salad,Poultry mixed dishes,321,27420060
"Chicken and vegetable entree with noodles, diet frozen meal",1 Lean Cuisine meal (11.75 oz),Poultry mixed dishes,333,75412030
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",Quantity not specified,Poultry mixed dishes,344,27120030
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",1 salad,Poultry mixed dishes,346,27311410
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 Wendy's salad,Poultry mixed dishes,360,27462000
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 salad,Poultry mixed dishes,370,27120250
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",1 salad,Poultry mixed dishes,370,27335500
"Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion",Quantity not specified,Poultry mixed dishes,468,27446300
"Pot pie, chicken","1 pie, any size",Poultry mixed dishes,1260,77316600
Gefilte fish,5 balls,Seafood mixed dishes,41,27250950
Shrimp toast,Quantity not specified,Seafood mixed dishes,48,27460710
Shrimp with crab stuffing,Quantity not specified,Seafood mixed dishes,70,27446332
"Shrimp shish kabob with vegetables, excluding potatoes",Quantity not specified,Seafood mixed dishes,77,27448030
"Fish shish kabob with vegetables, excluding potatoes",Quantity not specified,Seafood mixed dishes,77,27341330
"Fish, salmon cake or patty",1 croquette,Seafood mixed dishes,85,58128110
"Fish, cake or patty",Quantity not specified,Seafood mixed dishes,85,58150530
"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Quantity not specified,Seafood mixed dishes,244,28141010
"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing",Quantity not specified,Seafood mixed dishes,332,27443150
Vegetarian stroganoff,"1 cup, cooked","Bean, pea, legume dishes",125,27351040
"Swiss steak, with gravy, meatless",1 can (13 oz),"Bean, pea, legume dishes",369,27450180
"Pot pie, no meat","1 pie, any size","Bean, pea, legume dishes",1260,28150510
"Eggplant parmesan casserole, regular",1 cubic inch,Vegetable dishes,10,27450010
"Mushrooms, stuffed",Quantity not specified,Vegetable dishes,95,27151050
"Stuffed pepper, with meat",Quantity not specified,Vegetable dishes,99,27450068
"Stuffed pepper, with rice and meat",Quantity not specified,Vegetable dishes,99,27150310
"Stuffed pepper, with rice, meatless",Quantity not specified,Vegetable dishes,99,27151070
"Stuffed tomato, with rice and meat",Quantity not specified,Vegetable dishes,99,27450067
"Stuffed tomato, with rice, meatless",Quantity not specified,Vegetable dishes,99,27451060
"Artichokes, stuffed",Quantity not specified,Vegetable dishes,250,27151040
Cake made with glutinous rice and dried beans,Quantity not specified,Rice mixed dishes,16,27351010
Idli,Quantity not specified,Rice mixed dishes,76,27363000
Flavored rice mixture,Quantity not specified,Rice mixed dishes,164,58165430
Flavored rice mixture with cheese,Quantity not specified,Rice mixed dishes,173,58161200
Flavored rice and pasta mixture,"1 cup, NFS",Rice mixed dishes,196,75412060
"Gnocchi, potato",1 piece,"Pasta mixed dishes, excludes macaroni and cheese",26,58160590
Noodle pudding,Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",100,58161422
"Tortellini, cheese-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",150,58160510
"Stuffed shells, cheese- and spinach- filled, no sauce",1 cup,"Pasta mixed dishes, excludes macaroni and cheese",152,58161534
"Stuffed shells, cheese-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",152,58161532
"Ravioli, NS as to filling, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",160,58163430
"Ravioli, meat-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",160,58163410
"Ravioli, cheese-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",160,58161460
"Ravioli, cheese and spinach-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",160,58161462
"Cannelloni, cheese- and spinach-filled, no sauce",Quantity not specified,"Pasta mixed dishes, excludes macaroni and cheese",208,58160400
"Pasta with tomato-based sauce, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131120
"Pasta with tomato-based sauce, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131330
"Pasta with tomato-based sauce and meat, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131535
"Pasta with tomato-based sauce, meat, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131610
"Pasta with tomato-based sauce and poultry, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58133140
"Pasta with tomato-based sauce, poultry, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58134160
"Pasta with tomato-based sauce and seafood, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58134610
"Pasta with tomato-based sauce, seafood, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58134650
"Pasta with cream sauce, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58134710
"Pasta with cream sauce and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58146210
"Pasta with cream sauce and meat, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131323
"Pasta with cream sauce, meat, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58131523
"Pasta with cream sauce and poultry, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148117
"Pasta with cream sauce, poultry, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148115
"Pasta with cream sauce and seafood, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58149110
"Pasta with cream sauce, seafood, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58140310
"Pasta, whole grain, with tomato-based sauce, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148140
"Pasta, whole grain, with tomato-based sauce and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148170
"Pasta, whole grain, with tomato-based sauce and meat, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148110
"Pasta, whole grain, with tomato-based sauce, meat, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58148112
"Pasta, whole grain, with tomato-based sauce and poultry, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58146215
"Pasta, whole grain, with tomato-based sauce, poultry, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58146323
"Pasta, whole grain, with tomato-based sauce and seafood, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58146321
"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, ready-to-heat",1 microwavable cup,"Pasta mixed dishes, excludes macaroni and cheese",213,58146222
